item_id,lang,trans_type,text
1,en,origin,"On the whole, I am satisfied with myself."
2,en,origin,"At times I think I am no good at all."
3,en,origin,"I feel that I have a number of good qualities."
4,en,origin,"I am able to do things as well as most other people."
5,en,origin,"I feel I do not have much to be proud of."
1,ja,llm,"概して私は自分に満足している。"
2,ja,llm,"時々、私はまったくダメだと思うことがある。"
3,ja,llm,"私は多くの長所があると感じる。"
4,ja,llm,"私は他の人と同じくらい物事をうまくこなせる。"
5,ja,llm,"誇れるものはあまりないと感じる。"
1,ja,human,"概して、私は自分自身に満足している。"
2,ja,human,"時々、私は全く価値がないのではないかと思う。"
3,ja,human,"私は自分には多くの良い点があると感じる。"
4,ja,human,"私は多くの人と同程度に物事をうまく行える。"
5,ja,human,"誇れるものがあまりないと感じる。"
